Student_ID,University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you use University transportation?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,CGPA,Internships,Placed,Salary (INR LPA)
273,2021,Male,20,2020,BCSE,3,Yes,1,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,No,24,45000,8.43,3,Yes,8.49
274,2022,Female,21,2020,BCSE,2,Yes,7,2,Offline,Yes,Yes,3,Basic,2,No,No,Yes,Programming,0,Software,Single,No,Family,No,No,11,40000,7.51,2,Yes,6.44
275,2022,Male,19,2020,BCSE,1,Yes,8,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Data entry,1,Software,Single,Yes,Bachelor,No,No,0,10000,6.71,1,Yes,10.71
276,2021,Male,20,2020,BCSE,3,Yes,3,2,Offline,Yes,Yes,2,Advance,70,No,No,Yes,Programming,3,Software,Single,No,Family,Yes,No,25,50000,7.87,3,Yes,17.35
277,2015,Female,25,2015,BCSE,14,No,2,1,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Software Development,1,Software,Married,No,Family,No,No,130,62488,7.66,2,No,0.0
278,2021,Female,20,2020,BCSE,3,Yes,4,3,Offline,Yes,Yes,1,Intermediate,99,No,No,Yes,Programming,3,Software,Married,Yes,Family,No,No,23,50000,7.02,2,No,0.0
279,2019,Male,21,2018,BCSE,11,No,2,1,Offline,Yes,Yes,1,Intermediate,87,No,No,No,Web development,1,Software,Single,No,Bachelor,No,No,115,37000,7.56,4,Yes,16.79
280,2021,Female,23,2019,BCSE,3,Yes,1,1,Offline,Yes,No,3,Basic,50,Yes,No,Yes,Photographey,1,Software,Single,Yes,Family,Yes,No,26,45000,7.19,4,Yes,25.16
281,2022,Female,19,2020,BCSE,1,No,4,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Don't have any,1,Software,Single,Yes,Family,No,No,0,100000,7.59,2,No,0.0
282,2020,Male,20,2019,BCSE,7,No,2,1,Online,Yes,Yes,1,Basic,80,Yes,No,No,I do not know this,1,Hardware,Single,Yes,Family,No,No,65,35000,8.03,4,Yes,13.92
283,2022,Female,20,2020,BCSE,1,No,2,1,Offline,No,Yes,1,Basic,100,No,No,Yes,Nothing in this chart,1,Syber Security,Married,Yes,Bachelor,No,No,0,400006,8.77,3,Yes,16.08
284,2022,Male,21,2020,BCSE,1,Yes,1,1,Online,Yes,Yes,2,Intermediate,100,No,No,No,Not Any,0,Software,Single,Yes,Family,No,No,0,70000,6.51,0,No,0.0
285,2022,Male,22,2020,BCSE,1,Yes,4,1,Offline,Yes,Yes,2,Basic,100,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,No,Yes,11,20000,9.21,3,Yes,3.36
286,2021,Female,20,2020,BCSE,3,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Programming,1,NETWORKING,Single,No,Bachelor,No,Yes,24,40000,5.94,2,Yes,14.06
287,2019,Male,21,2019,BCSE,3,No,2,2,Online,Yes,Yes,1,Basic,88,Yes,Yes,Yes,no skills,1,Software,Single,No,Bachelor,Yes,Yes,25,30000,7.38,2,Yes,20.49
288,2019,Female,22,2018,BCSE,11,No,6,3,Offline,Yes,Yes,2,Basic,98,No,No,No,Programming,2,Machine Learning,Single,No,Family,No,No,107,60000,7.97,3,No,0.0
289,2021,Male,21,2020,BCSE,3,Yes,4,2,Offline,Yes,Yes,5,Intermediate,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,No,25,70000,7.72,4,Yes,3.42
290,2022,Female,21,2020,BCSE,1,Yes,1,2,Offline,Yes,Yes,2,Basic,100,No,No,No,Programming,0,Software,Single,No,Family,No,No,11,35000,7.0,4,Yes,10.58
291,2022,Male,20,2020,BCSE,2,Yes,5,2,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Programming,1,Software,Single,Yes,Bachelor,No,No,14,10000,7.33,2,Yes,8.61
292,2021,Female,21,2019,BCSE,3,Yes,3,1,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,No,24,50000,7.11,1,Yes,4.13
293,2021,Male,20,2020,BCSE,4,No,1,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,No,34,40000,7.03,4,Yes,15.94
294,2021,Female,20,2019,BCSE,4,Yes,3,3,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Machine Learning,Single,No,Family,No,No,23,100000,8.18,3,No,0.0
295,2021,Female,21,2020,BCSE,2,Yes,3,2,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,No,11,62488,7.79,4,Yes,7.91
296,2019,Female,24,2018,BCSE,11,Yes,2,1,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,2,Data Science,Married,No,Family,No,No,128,5000,6.95,3,No,0.0
297,2021,Female,20,2020,BCSE,4,No,4,1,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Bachelor,Yes,No,25,60000,8.22,2,Yes,23.06
298,2021,Female,21,2020,BCSE,2,No,9,2,Offline,Yes,Yes,3,Intermediate,97,Yes,No,No,Programming,5,Software,Single,No,Family,No,No,23,50000,7.75,4,Yes,25.89
299,2018,Female,23,2017,BCSE,14,No,1,2,Offline,Yes,Yes,2,Advance,80,Yes,No,Yes,Programming,2,Machine Learning,Married,No,Family,No,No,130,40000,8.15,3,Yes,17.73
300,2021,Male,19,2020,BCSE,3,No,2,1,Online,Yes,Yes,3,Basic,85,No,No,No,Programming,1,Software,Single,No,Family,No,No,25,30000,8.0,2,Yes,29.51
301,2021,Female,22,2020,BCSE,5,No,2,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,48,50000,6.84,1,Yes,15.16
302,2022,Female,21,2020,BCSE,2,Yes,2,1,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,12,120000,7.05,3,Yes,16.86
303,2022,Male,21,2020,BCSE,2,Yes,9,2,Offline,Yes,Yes,6,Intermediate,70,Yes,No,Yes,Programming,4,Software,Single,Yes,Family,No,No,12,30000,8.1,1,Yes,29.71
304,2021,Male,19,2020,BCSE,3,Yes,1,1,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,1,Software,Single,Yes,Bachelor,No,No,23,62488,7.99,1,Yes,9.25
305,2021,Female,19,2020,BCSE,3,Yes,2,2,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,25,40000,7.48,0,Yes,28.45
306,2021,Male,22,2017,BCSE,3,Yes,2,1,Online,Yes,Yes,0,Intermediate,70,No,No,No,Programming,1,Software,Single,No,Family,No,No,23,70000,7.59,4,No,0.0
307,2021,Female,21,2020,BCSE,3,No,2,2,Offline,Yes,Yes,5,Basic,80,No,No,No,Programming,2,Software,Single,No,Family,Yes,No,23,40000,8.52,3,No,0.0
308,2016,Male,25,2016,BCSE,19,Yes,1,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,No,130,300000,7.03,1,Yes,4.16
309,2021,Male,20,2019,BCSE,3,No,2,3,Offline,Yes,Yes,5,Basic,100,No,No,No,Programming,3,Artificial Intelligence,Single,No,Bachelor,Yes,No,23,50000,7.94,0,Yes,15.05
310,2022,Female,20,2020,BCSE,1,Yes,4,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Software Development,2,Software,Single,Yes,Bachelor,No,No,11,50000,7.34,2,Yes,4.89
311,2021,Male,20,2020,BCSE,3,Yes,5,3,Online,Yes,Yes,6,Advance,95,Yes,No,No,Programming,1,Software,Single,Yes,Bachelor,No,No,23,150000,7.33,3,Yes,22.69
312,2019,Male,24,2018,BCSE,9,No,1,2,Online,Yes,Yes,3,Basic,70,Yes,No,Yes,Web development,1,Hardware,Single,Yes,Family,No,No,40,25000,8.38,1,Yes,19.43
313,2020,Male,22,2018,BCSE,6,Yes,1,1,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,1,Software,Single,No,Family,No,No,50,40000,8.16,4,No,0.0
314,2021,Female,22,2020,BCSE,4,No,2,1,Offline,Yes,No,3,Intermediate,98,No,No,No,Programming,2,Software,Single,No,Bachelor,No,No,25,40000,8.15,0,Yes,22.08
315,2018,Male,26,2018,BCSE,12,Yes,3,1,Online,Yes,Yes,2,Advance,100,No,No,Yes,Web development,3,Hardware,Single,No,Family,No,No,130,62488,8.54,1,Yes,13.11
316,2021,Female,21,2020,BCSE,3,Yes,3,1,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Family,No,No,25,70000,7.52,4,No,0.0
317,2021,Male,20,2020,BCSE,3,Yes,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,No,Bachelor,No,No,23,25000,8.05,1,Yes,12.98
318,2021,Female,19,2020,BCSE,3,Yes,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Web development,2,Data Science,Single,No,Bachelor,Yes,No,23,30000,7.25,3,No,0.0
319,2022,Male,20,2020,BCSE,1,No,3,1,Offline,No,Yes,1,Intermediate,100,No,No,Yes,Nothing,1,Cyber Security,Married,Yes,Family,No,No,0,40000,7.76,3,Yes,4.22
320,2021,Male,21,2020,BCSE,3,Yes,1,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,30,40000,7.4,3,Yes,12.45
321,2019,Female,22,2019,BCSE,9,No,3,1,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development,1,Hardware,Single,No,Family,Yes,No,90,30000,7.58,0,Yes,28.09
322,2022,Male,21,2020,BCSE,2,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,No,90,30000,7.98,3,Yes,13.24
323,2020,Male,24,2017,BCSE,8,Yes,1,1,Offline,Yes,Yes,4,Intermediate,70,No,No,No,Programming,3,Machine Learning,Relationship,Yes,Family,No,No,90,30000,6.85,4,No,0.0
324,2021,Male,20,2020,BCSE,3,Yes,2,2,Offline,No,Yes,12,Basic,90,No,No,No,learner,0,Software,Single,No,Family,Yes,No,24,45000,9.17,1,Yes,25.45
325,2021,Female,19,2020,BCSE,3,No,3,2,Offline,Yes,Yes,4,Intermediate,77,Yes,No,Yes,Programming,3,Software,Single,No,Family,No,No,23,80000,6.7,2,No,0.0
326,2022,Male,21,2021,BCSE,2,Yes,3,2,Online,Yes,No,5,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,11,30000,6.53,4,Yes,25.74
327,2021,Male,22,2020,BCSE,3,Yes,0,0,Offline,Yes,Yes,15,Basic,80,Yes,No,No,Programming,0,Software,Single,No,Bachelor,No,No,23,30000,8.43,4,Yes,13.08
328,2020,Female,21,2019,BCSE,7,No,2,2,Online,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,3,UI/UX,Relationship,No,Family,No,No,90,35000,8.13,3,Yes,20.06
329,2021,Female,20,2020,BCSE,3,No,2,1,Offline,Yes,No,5,Basic,80,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,No,23,40000,8.0,0,Yes,5.58
330,2022,Male,21,2022,BCSE,1,Yes,6,2,Online,Yes,Yes,4,Intermediate,90,Yes,No,Yes,Cyber security,1,Software,Single,No,Bachelor,Yes,Yes,11,62488,8.0,1,No,0.0
331,2021,Female,21,2019,BCSE,3,Yes,3,0,Offline,Yes,Yes,12,Advance,50,No,No,Yes,No skill,0,NETWORKING,Relationship,Yes,Family,Yes,No,23,62488,7.49,0,Yes,5.8
332,2021,Female,22,2020,BCSE,3,Yes,2,1,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development,1,Machine Learning,Single,Yes,Bachelor,Yes,No,24,50000,6.78,1,Yes,4.31
333,2021,Female,21,2019,BCSE,3,Yes,2,3,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Software,Single,No,Family,No,No,24,40000,7.56,1,Yes,18.69
334,2021,Female,20,2020,BCSE,3,Yes,2,2,Offline,Yes,Yes,5,Basic,100,Yes,No,No,Programming,1,Software,Single,No,Family,Yes,No,20,35000,6.96,0,Yes,14.5
335,2022,Female,21,2020,BCSE,2,Yes,5,2,Offline,Yes,Yes,2,Basic,99,No,No,No,Programming,1,Software,Single,No,Bachelor,No,No,12,35000,8.28,4,Yes,17.8
336,2021,Female,22,2019,BCSE,3,Yes,2,1,Offline,Yes,Yes,1,Intermediate,96,No,No,Yes,Programming,1,Machine Learning,Single,No,Family,No,No,25,49000,7.38,1,Yes,17.07
337,2020,Male,22,2018,BCSE,7,Yes,2,1,Offline,Yes,Yes,4,Basic,80,No,No,Yes,Web development,0,Software,Single,No,Bachelor,Yes,No,53,15000,6.84,0,No,0.0
338,2019,Female,22,2018,BCSE,9,No,4,3,Offline,Yes,Yes,2,Advance,80,No,No,Yes,Programming,2,Data Science,Single,Yes,Family,No,No,105,2000000,7.24,1,Yes,12.46
339,2022,Female,20,2021,BCSE,1,Yes,2,1,Offline,Yes,Yes,3,Basic,98,No,No,Yes,Programming,0,Software,Single,No,Family,No,No,0,62488,7.83,2,Yes,21.29
340,2022,Male,20,2020,BCSE,2,Yes,8,4,Offline,Yes,Yes,2,Basic,88,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,11,30000,7.05,4,Yes,23.48
341,2021,Female,21,2020,BCSE,3,Yes,3,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,62488,6.84,3,Yes,3.39
342,2021,Male,21,2019,BCSE,3,Yes,8,2,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Programming,4,Software,Relationship,Yes,Family,No,No,25,50000,7.69,1,No,0.0
343,2021,Male,21,2019,BCSE,3,Yes,1,1,Online,Yes,Yes,2,Intermediate,85,No,No,No,Programming,2,Data Science,Single,Yes,Family,Yes,No,24,50000,7.7,2,Yes,8.6
344,2022,Male,20,2020,BCSE,3,No,4,2,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Programming,1,Software,Single,No,Family,No,No,26,30000,7.09,3,Yes,22.26
345,2021,Male,20,2020,BCSE,4,Yes,5,3,Online,Yes,Yes,1,Intermediate,80,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,36,7000,7.12,3,Yes,13.44
346,2022,Female,21,2019,BCSE,1,Yes,2,1,Offline,Yes,Yes,7,Advance,100,No,No,Yes,Cyber security,0,Software,Single,No,Family,No,No,0,50000,7.69,1,Yes,20.89
347,2020,Female,21,2018,BCSE,8,Yes,0,0,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,4,Software,Single,No,Family,No,No,60,50000,6.34,0,Yes,12.37
348,2021,Male,21,2019,BCSE,3,No,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Web development,1,Software,Single,Yes,Family,No,No,25,30000,6.37,1,No,0.0
349,2022,Female,20,2020,BCSE,1,Yes,1,1,Offline,Yes,Yes,3,Basic,95,No,No,No,Programming,1,Software,Single,No,Family,No,No,11,35000,6.93,2,No,0.0
350,2021,Male,20,2020,BCSE,3,Yes,8,2,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,2,Software,Single,No,Family,No,No,23,20000,7.33,3,No,0.0
351,2021,Female,21,2020,BCSE,4,No,6,1,Offline,Yes,No,2,Intermediate,97,Yes,No,Yes,Programming,3,Software,Single,Yes,Family,No,No,20,40000,7.75,1,Yes,13.55
352,2021,Female,18,2020,BCSE,2,Yes,2,2,Online,Yes,No,3,Intermediate,90,No,No,No,Programming,1,Software,Engaged,No,Bachelor,Yes,No,11,40000,8.68,0,Yes,7.28
353,2022,Male,21,2019,BCSE,2,Yes,5,3,Offline,Yes,Yes,4,Basic,90,Yes,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,No,11,20000,8.19,1,Yes,9.97
354,2020,Male,22,2019,BCSE,8,No,3,1,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,No,87,50000,7.37,4,Yes,19.35
355,2021,Male,20,2020,BCSE,3,Yes,2,1,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,1,Cyber security,Single,No,Family,No,No,25,25000,7.48,0,No,0.0
356,2020,Male,22,2019,BCSE,6,No,3,2,Offline,Yes,Yes,1,Intermediate,100,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,60,20000,6.7,2,Yes,14.7
357,2020,Male,19,2020,BCSE,2,Yes,5,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Data Science,Single,Yes,Bachelor,Yes,No,11,20000,7.49,3,No,0.0
358,2021,Female,20,2018,BCSE,3,Yes,1,2,Online,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,30000,7.27,1,No,0.0
359,2021,Male,21,2021,BCSE,3,Yes,2,1,Offline,Yes,Yes,2,Intermediate,60,No,No,No,Programming,1,Software,Single,No,Family,No,No,26,50000,7.76,0,Yes,23.91
360,2021,Male,20,2020,BCSE,2,Yes,3,1,Offline,Yes,Yes,3,Intermediate,99,Yes,Yes,Yes,Programming,1,Software,Single,No,Family,No,No,11,20000,6.84,4,Yes,26.02
361,2020,Female,23,2019,BCSE,7,Yes,5,2,Offline,Yes,Yes,6,Intermediate,99,No,No,Yes,Basic knowledge,2,NETWORKING,Engaged,Yes,Bachelor,Yes,No,76,12500,7.92,0,Yes,17.62
362,2018,Male,23,2017,BCSE,12,No,7,3,Offline,Yes,Yes,2,Intermediate,90,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,No,No,125,15000,8.73,4,Yes,23.47
363,2022,Male,21,2020,BCSE,2,No,5,3,Offline,Yes,No,4,Basic,60,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,11,5000,7.41,2,No,0.0
364,2022,Female,20,2020,BCSE,1,No,5,2,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,0,20000,7.82,3,Yes,11.29
365,2022,Male,20,2020,BCSE,2,Yes,1,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Software,Single,No,Family,No,No,12,50000,8.05,2,Yes,14.2
366,2021,Male,21,2019,BCSE,3,No,4,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,3,Full stack web development,Single,No,Family,No,No,25,60000,7.18,1,Yes,22.24
367,2019,Female,22,2018,BCSE,11,Yes,5,2,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,System analysis,1,Hardware,Relationship,Yes,Family,No,No,120,68000,7.68,0,No,0.0
368,2020,Female,21,2019,BCSE,6,Yes,3,2,Offline,Yes,Yes,2,Intermediate,99,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,58,40000,7.51,4,Yes,13.43
369,2021,Male,20,2019,BCSE,3,No,4,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,2,Software,Single,No,Bachelor,Yes,No,24,40000,7.58,4,No,0.0
370,2021,Male,21,2019,BCSE,3,Yes,1,1,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Family,Yes,No,25,50000,6.88,0,Yes,18.89
371,2019,Female,22,2017,BCSE,11,No,3,2,Offline,Yes,Yes,4,Intermediate,95,No,No,Yes,Web development,1,Machine Learning,Single,No,Family,Yes,No,120,40000,7.52,0,No,0.0
372,2021,Female,21,2020,BCSE,2,Yes,8,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Software Development,1,Software,Single,Yes,Family,No,No,12,50000,7.9,1,No,0.0
373,2019,Female,23,2018,BCSE,11,No,3,2,Offline,Yes,Yes,3,Intermediate,96,No,No,Yes,Web development,2,Software,Single,No,Family,No,No,141,18000,8.66,2,Yes,8.01
374,2019,Male,24,2019,BCSE,5,No,2,2,Offline,Yes,Yes,8,Basic,100,Yes,No,Yes,Programming,8,Creating a game using a program language,Single,No,Family,No,No,42,62488,8.27,4,Yes,19.19
375,2021,Female,20,2020,BCSE,3,No,2,3,Offline,Yes,Yes,4,Basic,85,Yes,No,No,Programming,2,NETWORKING,Single,No,Bachelor,No,No,23,25000,9.22,1,No,0.0
376,2022,Female,20,2020,BCSE,2,Yes,3,1,Offline,Yes,Yes,3,Basic,95,No,No,No,Programming,2,Software,Single,No,Family,No,No,11,45000,6.89,2,Yes,26.26
377,2021,Female,19,2020,BCSE,2,No,5,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,3,Artificial Intelligence,Single,Yes,Family,No,No,11,40000,8.2,1,No,0.0
378,2020,Female,20,2019,BCSE,7,Yes,1,1,Online,Yes,Yes,1,Intermediate,75,Yes,No,No,No skills,1,Machine Learning,Relationship,Yes,Family,Yes,No,79,60000,7.65,4,Yes,26.45
379,2021,Male,21,2020,BCSE,3,Yes,2,1,Offline,Yes,Yes,6,Basic,70,No,No,Yes,Programming,2,UI/UX,Single,Yes,Bachelor,No,No,22,40000,9.25,0,No,0.0
380,2021,Female,20,2019,BCSE,3,No,2,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Memorizing,3,Data Science,Single,No,Family,Yes,No,23,100000,6.85,0,No,0.0
381,2022,Male,22,2020,BCSE,2,No,2,1,Offline,Yes,No,4,Basic,100,No,No,Yes,Nothing,0,Software,Single,No,Bachelor,No,No,11,40000,6.83,2,No,0.0
382,2021,Male,22,2019,BCSE,3,Yes,2,3,Online,Yes,Yes,2,Intermediate,92,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,23,35000,7.02,3,Yes,22.56
383,2022,Male,20,2020,BCSE,1,Yes,2,1,Offline,Yes,No,3,Basic,99,No,No,No,Programming,0,Software,Relationship,Yes,Bachelor,No,No,10,20000,5.8,2,Yes,23.14
384,2019,Female,23,2017,BCSE,11,No,3,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Web development,2,Machine Learning,Single,No,Bachelor,No,No,120,33000,7.08,3,Yes,18.06
385,2020,Male,21,2019,BCSE,8,Yes,5,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development,2,Machine Learning,Single,Yes,Bachelor,Yes,No,88,15000,6.89,1,Yes,18.79
386,2022,Male,20,2020,BCSE,1,Yes,1,1,Offline,Yes,Yes,2,Basic,98,No,No,Yes,Trying to learn,2,Software,Single,Yes,Bachelor,No,No,0,20000,7.62,1,Yes,6.61
387,2022,Male,20,2019,BCSE,1,Yes,2,1,Offline,Yes,Yes,1,Basic,99,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,13,20000,7.77,4,Yes,14.98
388,2021,Female,21,2020,BCSE,3,Yes,2,2,Offline,Yes,Yes,4,Intermediate,100,No,No,No,Programming,2,Software,Single,No,Family,No,No,23,50000,9.0,3,No,0.0
389,2020,Male,22,2018,BCSE,6,No,5,2,Offline,Yes,No,3,Intermediate,90,No,No,Yes,Web development,3,Software,Single,No,Bachelor,No,No,58,70000,8.26,4,Yes,15.17
390,2022,Male,22,2015,BCSE,2,Yes,2,2,Online,Yes,Yes,1,Basic,95,Yes,No,Yes,Programming,1,Software,Single,Yes,Bachelor,Yes,No,14,25000,7.04,0,Yes,28.88
391,2020,Female,21,2019,BCSE,8,Yes,3,1,Offline,Yes,Yes,5,Intermediate,80,Yes,No,No,Web development,1,Data Science,Single,Yes,Bachelor,No,No,62,60000,6.78,3,Yes,14.64
392,2021,Female,22,2020,BCSE,3,Yes,3,1,Offline,No,Yes,3,Advance,98,No,No,Yes,Cyber security,4,Artificial Intelligence,Single,No,Family,Yes,Yes,23,50000,7.89,2,Yes,17.83
393,2021,Male,21,2020,BCSE,3,Yes,4,1,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,No,23,30000,6.44,0,Yes,17.4
394,2022,Male,20,2019,BCSE,2,No,2,2,Offline,Yes,Yes,3,Basic,90,No,Yes,Yes,Networking,2,NETWORKING,Single,No,Bachelor,No,No,12,20000,8.97,0,No,0.0
395,2021,Female,20,2019,BCSE,3,Yes,1,1,Offline,Yes,Yes,3,Advance,90,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,No,23,35000,8.44,2,No,0.0
396,2020,Female,20,2020,BCSE,2,Yes,2,3,Offline,Yes,Yes,12,Intermediate,80,No,No,No,Photography,1,Software,Engaged,Yes,Bachelor,Yes,No,12,30000,7.12,0,Yes,20.19
397,2022,Female,19,2021,BCSE,1,Yes,6,2,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Family,No,No,0,70000,6.13,3,Yes,23.2
398,2022,Male,19,2020,BCSE,12,No,4,2,Offline,Yes,No,3,Intermediate,75,Yes,No,Yes,Programming,1,Software,Single,Yes,Family,Yes,No,14,15000,8.58,4,No,0.0
399,2022,Female,19,2021,BCSE,1,Yes,3,2,Offline,Yes,No,2,Basic,92,No,No,No,Programming,1,Software,Single,No,Family,No,No,11,50000,7.41,0,Yes,9.08
400,2022,Male,21,2020,BCSE,2,No,1,1,Offline,Yes,Yes,4,Basic,95,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,11,30000,8.49,3,Yes,17.28
401,2022,Male,20,2020,BCSE,2,Yes,2,1,Offline,Yes,Yes,1,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,No,12,50000,6.22,1,Yes,25.3
402,2022,Female,20,2020,BCSE,2,Yes,3,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,No,12,90000,7.02,3,Yes,15.5
403,2018,Female,23,2017,BCSE,14,No,7,1,Offline,Yes,Yes,5,Intermediate,60,Yes,No,No,Cyber security,2,Artificial Intelligence,Relationship,Yes,Bachelor,Yes,No,133,28000,7.5,4,Yes,10.52
404,2022,Male,20,2020,BCSE,1,Yes,3,1,Offline,Yes,No,2,Advance,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,No,0,30000,7.54,3,Yes,20.68
405,2021,Female,19,2020,BCSE,3,Yes,5,2,Offline,Yes,Yes,4,Intermediate,99,No,No,Yes,Programming,3,Software,Single,No,Family,No,No,25,25000,7.14,2,Yes,25.24
406,2022,Male,20,2021,BCSE,2,No,1,1,Offline,Yes,No,4,Basic,85,No,No,No,Programming,1,Software,Single,Yes,Family,No,No,11,40000,8.0,4,No,0.0
407,2022,Female,20,2020,BCSE,2,No,6,2,Online,Yes,Yes,1,Basic,98,Yes,No,Yes,Web development,5,Software,Single,Yes,Bachelor,No,No,11,40000,6.65,1,Yes,4.7
408,2020,Female,20,2019,BCSE,8,Yes,3,2,Offline,Yes,Yes,2,Intermediate,99,No,No,Yes,Programming,1,Machine Learning,Single,Yes,Family,No,No,90,50000,7.39,2,No,0.0
409,2022,Female,19,2020,BCSE,2,No,3,2,Offline,Yes,Yes,4,Advance,100,No,No,Yes,Programming,2,Artificial Intelligence,Single,Yes,Family,No,No,11,25000,7.6,3,No,0.0
